Sklypo_ID	Sklypo_kodas	Kadastro_vietoves_kodas	Kadastro_vietoves_bloko_numeris	Sklypo_nr_bloke	Anuliavimo_data	Pagal_pastata	Sklypo_adresas	Laikotarpis	Bazine_kaina	Plotas	Paskirties_kodas	Paskirtis	Charakteristikos_kodas	Charakteristika	Turto_grupes_kodas	Turto_grupe	Verciu_zona	Skaitiklis	Vardiklis	Neapmokestinamas_dydis	Moketojo_ID	Moketojo_kodas	Moketojo_pavadinimas	Naudojimo_pradzia	Naudojimo_pabaiga	Taikyti_VRV	VRV_visa	VRV_dalies	Dokumento_data	Dokumento_nr	Dokumento_tipas	Koregavimo_data
---------	------------	-----------------------	-------------------------------	---------------	---------------	-------------	--------------	-----------	------------	------	----------------	---------	----------------------	---------------	------------------	-----------	-----------	----------	---------	----------------------	-----------	--------------	--------------------	-----------------	-----------------	-----------	--------	----------	--------------	------------	---------------	---------------
8841	10100050093	0101	0005	93	NULL	0	"Vilniaus m. sav., Vilnius, Petro Baublio g. 2"	2014 m.	55307,78	0,211300	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	972	Komercinės paskirties žemė	57.59	1	1	NULL	13733	0	U.a.b.".	2012-02-10	2095-10-23	1	88500.00	383364.00	1996-10-25	263 N01/96-11797	Valst. ž. skl. nuomos sutartis	2015-05-04
9144	10100310267	0101	0031	267	NULL	0	"Vilniaus m. sav., Vilnius, Sėlių g. 16"	2014 m.	103305,00	0,410900	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.15	1	1	NULL	8267	1007142	123-oji daugiabučių namų savininkų bendrija "SĖLIAI"	2000-01-12	2098-11-27	0	NULL	NULL	1999-11-29	N01/99-21892	Valst. ž. skl. nuomos sutartis	2005-05-04
1751				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Dariaus ir Girėno g. 113"	2014 m.	46327,05	0,229200	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	1639	1001639	Uždaroji akcinė bendrovė "Serfas"	2008-04-30	NULL	0	NULL	NULL	NULL			2014-09-09
9758	10100580024	0101	0057	29	NULL	0	"Vilniaus m. sav., Vilnius, Didžioji g."	2014 m.	20158,00	0,015700	995	Kita (žemės)	423	Komer. paskirties objektų žemė	972	Komercinės paskirties žemė	57.1	1	1	NULL	1672	1001672	Uždaroji akcinė bendrovė "AAA Astorija"	2013-07-18	NULL	0	163000.00	163000.00	1997-12-11	N01/97-14342	Valst. ž. skl. nuomos sutartis	2015-04-02
8665	10100820090	0101	0082	90	NULL	0	"Vilniaus m. sav., Vilnius, V. A. Graičiūno g. 34"	2014 m.	1066048,00	6,048500	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.29	1	1	NULL	7844	1006719	Uždaroji akcinė bendrovė "ORMINA"	1999-03-30	2098-03-29	0	NULL	NULL	1999-03-30	199 A N01/99-20625	Valst. ž. skl. nuomos sutartis	2004-12-23
7073	440000529300	0101	0040	255	NULL	0	"Vilniaus m. sav., Vilnius, Gedimino pr. 37"	2014 m.	118581,38	0,203000	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.6	279	2030	NULL	9877	1007770	UAB "Pirklių klubas"(UAB "SOMENERA")	2009-07-10	2040-07-07	1	2946000.00	645820.00	2009-07-09	N01/2009-187	Valst. ž. skl. nuomos sutartis	2009-07-10
7073	440000529300	0101	0040	255	NULL	0	"Vilniaus m. sav., Vilnius, Gedimino pr. 37"	2014 m.	118581,38	0,203000	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.6	156	2030	NULL	1925	1001925	Uždaroji akcinė bendrovė "LIETKOMPEXIM"	2014-04-30	2044-06-02	1	1025000.00	78768.00	2004-06-04	N01/2004-811	Valst. ž. skl. nuomos sutartis	2014-04-30
7073	440000529300	0101	0040	255	NULL	0	"Vilniaus m. sav., Vilnius, Gedimino pr. 37"	2014 m.	118581,38	0,203000	995	Kita (žemės)	474	Kita ne ž.ū.ir ne m.ū.ž.	950	Gyvenamųjų teritorijų žemė	57.6	108	2030	NULL	1925	1001925	Uždaroji akcinė bendrovė "LIETKOMPEXIM"	2004-08-29	2014-04-29	0	NULL	NULL	2004-06-04	N01/2004-811	Valst. ž. skl. nuomos sutartis	2014-04-30
2071				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Gedimino pr. 37"	2014 m.	7852,95	0,010800	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		1	1	NULL	1925	1001925	Uždaroji akcinė bendrovė "LIETKOMPEXIM"	2002-12-31	NULL	0	NULL	NULL	NULL			2014-09-09
2785				NULL	NULL	0	"Vilniaus m. sav., Vilnius, Kirtimų g."	2014 m.	149725,26	0,860500	413	Kitai ne ž.ū,m.ū.veiklai	04*	Kitos paskirties žemė	950	Gyvenamųjų teritorijų žemė		4371	8605	NULL	1008	1001008	Akcinė bendrovė "Lietuvos geležinkeliai"	2010-02-17	NULL	0	NULL	NULL	NULL			2014-09-09
